EcoLocationID_short,Population,Samples.renames,PAR_mean,Turbidity_mean,ubedmean,dist_to_shore,temp_mean,temp_monthly_range
CBHE_BA1D,Heron,Spis-CBHE-256,0.000263058,0.501432551,0.20785649,72906.55222,24.64999874,5.649873098
CBHE_BA1S,Heron,Spis-CBHE-1382,0.000532178,0.500296613,0.296382447,72917.44719,24.65647097,5.684976366
CBHE_BA1S,Heron,Spis-CBHE-259,0.000532178,0.500296613,0.296382447,72917.44719,24.65647097,5.684976366
CBHE_BA2D,Heron,Spis-CBHE-1396,0.000305239,0.4740804,0.255640381,69622.31044,24.66656462,5.706167645
CBHE_BA2D,Heron,Spis-CBHE-1398,0.000305239,0.4740804,0.255640381,69622.31044,24.66656462,5.706167645
CBHE_BA2D,Heron,Spis-CBHE-1400,0.000305239,0.4740804,0.255640381,69622.31044,24.66656462,5.706167645
CBHE_BA2D,Heron,Spis-CBHE-1408,0.000305239,0.4740804,0.255640381,69622.31044,24.66656462,5.706167645
CBHE_BA2S,Heron,Spis-CBHE-1412,0.000546444,0.470841096,0.299371842,69668.75042,24.66725832,5.715927548
CBHE_BA2S,Heron,Spis-CBHE-1418,0.000546444,0.470841096,0.299371842,69668.75042,24.66725832,5.715927548
CBHE_BA2S,Heron,Spis-CBHE-1423,0.000546444,0.470841096,0.299371842,69668.75042,24.66725832,5.715927548
CBHE_FL1S,Heron,Spis-CBHE-1334,0.000546444,0.470841096,0.244084944,69333.56119,24.70359926,5.784350289
CBHE_FL1S,Heron,Spis-CBHE-1335,0.000546444,0.470841096,0.244084944,69333.56119,24.70359926,5.784350289
CBHE_FL1S,Heron,Spis-CBHE-1346,0.000546444,0.470841096,0.244084944,69333.56119,24.70359926,5.784350289
CBHE_FL1S,Heron,Spis-CBHE-213,0.000546444,0.470841096,0.244084944,69333.56119,24.70359926,5.784350289
CBHE_FL1S,Heron,Spis-CBHE-221,0.000546444,0.470841096,0.244084944,69333.56119,24.70359926,5.784350289
CBHE_FR1S,Heron,Spis-CBHE-1324,0.000543583,0.473815464,0.321484258,69681.21619,24.70532172,5.746840159
CBHE_FR2D,Heron,Spis-CBHE-1279,0.000288882,0.437551613,0.198000136,68722.5339,24.72159089,5.807076984
CBHE_FR2D,Heron,Spis-CBHE-1281,0.000288882,0.437551613,0.198000136,68722.5339,24.72159089,5.807076984
CBHE_FR2D,Heron,Spis-CBHE-1282,0.000288882,0.437551613,0.198000136,68722.5339,24.72159089,5.807076984
CBHE_FR2D,Heron,Spis-CBHE-1284,0.000288882,0.437551613,0.198000136,68722.5339,24.72159089,5.807076984
CBHE_FR2D,Heron,Spis-CBHE-1287,0.000288882,0.437551613,0.198000136,68722.5339,24.72159089,5.807076984
CBHE_FR2S,Heron,Spis-CBHE-1289,0.000553827,0.438017356,0.28388188,68758.13597,24.72362912,5.808284548
